tournament,round,game_id,team,player,tossups,negs,pts,opponent,packet
ACF Nationals 2021,1,20210101,Stanford,Tim Morrison,6,1,55,Chicago B,Texas
ACF Nationals 2021,1,20210101,Stanford,Natan Holtzman,3,1,25,Chicago B,Texas
ACF Nationals 2021,1,20210101,Stanford,Ethan Strombeck,3,0,30,Chicago B,Texas
ACF Nationals 2021,1,20210101,Stanford,Eric Wolfsberg,1,0,10,Chicago B,Texas
ACF Nationals 2021,1,20210101,Chicago B,John Marvin,2,1,15,Stanford,Texas
ACF Nationals 2021,1,20210101,Chicago B,Sam Moore,1,0,10,Stanford,Texas
ACF Nationals 2021,1,20210101,Chicago B,Wonyoung Jang,0,0,0,Stanford,Texas
ACF Nationals 2021,1,20210101,Chicago B,Walker Combs,1,0,10,Stanford,Texas
ACF Nationals 2021,1,20210102,Illinois,Iain Carpenter,3,2,20,Harvard B,Texas
ACF Nationals 2021,1,20210102,Illinois,Mitch McCullar,2,1,15,Harvard B,Texas
ACF Nationals 2021,1,20210102,Illinois,Olivia Kiser,3,0,30,Harvard B,Texas
ACF Nationals 2021,1,20210102,Illinois,Auroni Gupta,6,0,60,Harvard B,Texas
ACF Nationals 2021,1,20210102,Harvard B,Mazin Omer,2,0,20,Illinois,Texas
ACF Nationals 2021,1,20210102,Harvard B,Christopher Gilmer-Hill,3,0,30,Illinois,Texas
ACF Nationals 2021,1,20210103,Northwestern,Rohin Devanathan,1,0,10,Ohio State,Texas
ACF Nationals 2021,1,20210103,Northwestern,Christopher Sims,3,0,30,Ohio State,Texas
ACF Nationals 2021,1,20210103,Northwestern,Andrew Salij,1,1,5,Ohio State,Texas
ACF Nationals 2021,1,20210103,Northwestern,Nikhil Chellam,3,1,25,Ohio State,Texas
ACF Nationals 2021,1,20210103,Ohio State,Eddy Liu,1,0,10,Northwestern,Texas
ACF Nationals 2021,1,20210103,Ohio State,Roxanne Tang,0,1,-5,Northwestern,Texas
ACF Nationals 2021,1,20210103,Ohio State,Chris Ray,5,1,45,Northwestern,Texas
ACF Nationals 2021,1,20210103,Ohio State,Clark Smith,4,1,35,Northwestern,Texas
ACF Nationals 2021,1,20210104,Vanderbilt,Aidan Fein,1,0,10,Maryland,Texas
ACF Nationals 2021,1,20210104,Vanderbilt,Jacob Augelli,4,0,40,Maryland,Texas
ACF Nationals 2021,1,20210104,Vanderbilt,Michael Ponce,2,0,20,Maryland,Texas
ACF Nationals 2021,1,20210104,Vanderbilt,Jonathan Caldwell,1,1,5,Maryland,Texas
ACF Nationals 2021,1,20210104,Maryland,Vishwa Shanmugam,3,2,20,Vanderbilt,Texas
ACF Nationals 2021,1,20210104,Maryland,Connor Mayers,0,0,0,Vanderbilt,Texas
ACF Nationals 2021,1,20210104,Maryland,Caleb Kendrick,4,0,40,Vanderbilt,Texas
ACF Nationals 2021,1,20210104,Maryland,Graham Reid,4,0,40,Vanderbilt,Texas
ACF Nationals 2021,1,20210105,Columbia,Will Alston,8,1,75,Yale,Texas
ACF Nationals 2021,1,20210105,Columbia,Noah Chen,1,0,10,Yale,Texas
ACF Nationals 2021,1,20210105,Columbia,Noah Sheidlower,1,0,10,Yale,Texas
ACF Nationals 2021,1,20210105,Columbia,Caroline Mao,2,0,20,Yale,Texas
ACF Nationals 2021,1,20210105,Yale,Hasna Karim,1,0,10,Columbia,Texas
ACF Nationals 2021,1,20210105,Yale,Daniel Sheinberg,2,0,20,Columbia,Texas
ACF Nationals 2021,1,20210105,Yale,Matt Pecoraro,2,0,20,Columbia,Texas
ACF Nationals 2021,1,20210105,Yale,Michał Gerasimiuk,3,2,20,Columbia,Texas
ACF Nationals 2021,1,20210106,Princeton,Eve Fleisig,2,0,20,Florida,Texas
ACF Nationals 2021,1,20210106,Princeton,Nathaniel Hull,1,0,10,Florida,Texas
ACF Nationals 2021,1,20210106,Princeton,Maya Chande,0,0,0,Florida,Texas
ACF Nationals 2021,1,20210106,Princeton,Samuel Lockwood,0,0,0,Florida,Texas
ACF Nationals 2021,1,20210106,Florida,Taylor Harvey,5,0,50,Princeton,Texas
ACF Nationals 2021,1,20210106,Florida,Jonathen Settle,4,0,40,Princeton,Texas
ACF Nationals 2021,1,20210106,Florida,Tracy Mirkin,7,0,70,Princeton,Texas
ACF Nationals 2021,1,20210106,Florida,Leo Law,0,0,0,Princeton,Texas
ACF Nationals 2021,1,20210107,Brown,Anson Berns,6,1,55,Minnesota,Texas
ACF Nationals 2021,1,20210107,Brown,Jason Hong,4,0,40,Minnesota,Texas
ACF Nationals 2021,1,20210107,Brown,Michael Li,1,0,10,Minnesota,Texas
ACF Nationals 2021,1,20210107,Brown,Walter Zhang,1,0,10,Minnesota,Texas
ACF Nationals 2021,1,20210107,Minnesota,Ben Weiner,1,0,10,Brown,Texas
ACF Nationals 2021,1,20210107,Minnesota,Davis Everson-Rose,1,2,0,Brown,Texas
ACF Nationals 2021,1,20210107,Minnesota,Ethan Ashbrook,4,1,35,Brown,Texas
ACF Nationals 2021,1,20210107,Minnesota,Urbas Ekka,0,0,0,Brown,Texas
ACF Nationals 2021,1,20210108,Chicago A,Matthew Lehmann,3,1,25,WUSTL,Texas
ACF Nationals 2021,1,20210108,Chicago A,Adam Fine,3,0,30,WUSTL,Texas
ACF Nationals 2021,1,20210108,Chicago A,Alston Boyd,3,0,30,WUSTL,Texas
ACF Nationals 2021,1,20210108,Chicago A,Ben Miller,0,0,0,WUSTL,Texas
ACF Nationals 2021,1,20210108,WUSTL,Charles Hang,6,0,60,Chicago A,Texas
ACF Nationals 2021,1,20210108,WUSTL,Athena Kern,4,0,40,Chicago A,Texas
ACF Nationals 2021,1,20210108,WUSTL,Jeremy Cummings,0,0,0,Chicago A,Texas
ACF Nationals 2021,1,20210108,WUSTL,Paul Lee,1,1,5,Chicago A,Texas
ACF Nationals 2021,1,20210109,UC-Berkeley,Michael Coates,3,0,30,Cornell,Texas
ACF Nationals 2021,1,20210109,UC-Berkeley,Rahul Keyal,4,0,40,Cornell,Texas
ACF Nationals 2021,1,20210109,UC-Berkeley,James Malouf,2,1,15,Cornell,Texas
ACF Nationals 2021,1,20210109,UC-Berkeley,Shahar Schwartz,2,1,15,Cornell,Texas
ACF Nationals 2021,1,20210109,Cornell,Raymond Wang,2,1,15,UC-Berkeley,Texas
ACF Nationals 2021,1,20210109,Cornell,Dan Ni,1,1,5,UC-Berkeley,Texas
ACF Nationals 2021,1,20210109,Cornell,Allan Lee,1,0,10,UC-Berkeley,Texas
ACF Nationals 2021,1,20210109,Cornell,Jonathan Tran,3,0,30,UC-Berkeley,Texas
ACF Nationals 2021,1,20210110,North Carolina,Vincent Du,6,1,55,Harvard A,Texas
ACF Nationals 2021,1,20210110,North Carolina,Henry Goff,1,0,10,Harvard A,Texas
ACF Nationals 2021,1,20210110,North Carolina,Grant Peet,2,1,15,Harvard A,Texas
ACF Nationals 2021,1,20210110,North Carolina,Kevin Thomas,2,1,15,Harvard A,Texas
ACF Nationals 2021,1,20210110,Harvard A,Ricky Li,0,1,-5,North Carolina,Texas
ACF Nationals 2021,1,20210110,Harvard A,Kelvin Li,1,1,5,North Carolina,Texas
ACF Nationals 2021,1,20210110,Harvard A,Jason Golfinos,6,0,60,North Carolina,Texas
ACF Nationals 2021,1,20210110,Harvard A,Thomas Gioia,1,1,5,North Carolina,Texas
ACF Nationals 2021,2,20210201,Vanderbilt,Aidan Fein,1,0,10,Texas,Florida
ACF Nationals 2021,2,20210201,Vanderbilt,Jacob Augelli,1,1,5,Texas,Florida
ACF Nationals 2021,2,20210201,Vanderbilt,Michael Ponce,1,0,10,Texas,Florida
ACF Nationals 2021,2,20210201,Vanderbilt,Jonathan Caldwell,1,0,10,Texas,Florida
ACF Nationals 2021,2,20210201,Texas,William Golden,7,1,65,Vanderbilt,Florida
ACF Nationals 2021,2,20210201,Texas,Jaskaran Singh,2,1,15,Vanderbilt,Florida
ACF Nationals 2021,2,20210201,Texas,Ryan Humphrey,2,0,20,Vanderbilt,Florida
ACF Nationals 2021,2,20210201,Texas,Bradley McLain,2,0,20,Vanderbilt,Florida
ACF Nationals 2021,2,20210202,Chicago A,Matthew Lehmann,7,2,60,Minnesota,Florida
ACF Nationals 2021,2,20210202,Chicago A,Adam Fine,2,0,20,Minnesota,Florida
ACF Nationals 2021,2,20210202,Chicago A,Alston Boyd,1,0,10,Minnesota,Florida
ACF Nationals 2021,2,20210202,Chicago A,Ben Miller,1,0,10,Minnesota,Florida
ACF Nationals 2021,2,20210202,Minnesota,Ben Weiner,0,0,0,Chicago A,Florida
ACF Nationals 2021,2,20210202,Minnesota,Davis Everson-Rose,4,4,20,Chicago A,Florida
ACF Nationals 2021,2,20210202,Minnesota,Ethan Ashbrook,2,0,20,Chicago A,Florida
ACF Nationals 2021,2,20210202,Minnesota,Urbas Ekka,0,0,0,Chicago A,Florida
ACF Nationals 2021,2,20210203,WUSTL,Charles Hang,3,3,15,Princeton,Florida
ACF Nationals 2021,2,20210203,WUSTL,Athena Kern,3,2,20,Princeton,Florida
ACF Nationals 2021,2,20210203,WUSTL,Jeremy Cummings,2,0,20,Princeton,Florida
ACF Nationals 2021,2,20210203,WUSTL,Paul Lee,1,0,10,Princeton,Florida
ACF Nationals 2021,2,20210203,Princeton,Eve Fleisig,2,0,20,WUSTL,Florida
ACF Nationals 2021,2,20210203,Princeton,Nathaniel Hull,2,1,15,WUSTL,Florida
ACF Nationals 2021,2,20210203,Princeton,Maya Chande,1,0,10,WUSTL,Florida
ACF Nationals 2021,2,20210203,Princeton,Samuel Lockwood,0,0,0,WUSTL,Florida
ACF Nationals 2021,2,20210204,Georgia Tech,Tejas Santanam,1,0,10,Illinois,Florida
ACF Nationals 2021,2,20210204,Georgia Tech,Hari Parameswaran,1,2,0,Illinois,Florida
ACF Nationals 2021,2,20210204,Georgia Tech,Sarah Mueller,0,2,-10,Illinois,Florida
ACF Nationals 2021,2,20210204,Georgia Tech,S.A. Shenoy,0,0,0,Illinois,Florida
ACF Nationals 2021,2,20210204,Illinois,Iain Carpenter,3,3,15,Georgia Tech,Florida
ACF Nationals 2021,2,20210204,Illinois,Mitch McCullar,1,1,5,Georgia Tech,Florida
ACF Nationals 2021,2,20210204,Illinois,Olivia Kiser,5,0,50,Georgia Tech,Florida
ACF Nationals 2021,2,20210204,Illinois,Auroni Gupta,5,0,50,Georgia Tech,Florida
ACF Nationals 2021,2,20210205,Yale,Hasna Karim,0,0,0,Maryland,Florida
ACF Nationals 2021,2,20210205,Yale,Daniel Sheinberg,5,0,50,Maryland,Florida
ACF Nationals 2021,2,20210205,Yale,Matt Pecoraro,0,0,0,Maryland,Florida
ACF Nationals 2021,2,20210205,Yale,Michał Gerasimiuk,0,0,0,Maryland,Florida
ACF Nationals 2021,2,20210205,Maryland,Vishwa Shanmugam,5,1,45,Yale,Florida
ACF Nationals 2021,2,20210205,Maryland,Connor Mayers,0,0,0,Yale,Florida
ACF Nationals 2021,2,20210205,Maryland,Caleb Kendrick,4,1,35,Yale,Florida
ACF Nationals 2021,2,20210205,Maryland,Graham Reid,2,0,20,Yale,Florida
ACF Nationals 2021,2,20210206,Columbia,Will Alston,10,2,90,Chicago C,Florida
ACF Nationals 2021,2,20210206,Columbia,Noah Chen,3,0,30,Chicago C,Florida
ACF Nationals 2021,2,20210206,Columbia,Noah Sheidlower,2,0,20,Chicago C,Florida
ACF Nationals 2021,2,20210206,Columbia,Caroline Mao,1,0,10,Chicago C,Florida
ACF Nationals 2021,2,20210206,Chicago C,Vivek Sasse,2,0,20,Columbia,Florida
ACF Nationals 2021,2,20210206,Chicago C,Robert Condron,0,1,-5,Columbia,Florida
ACF Nationals 2021,2,20210206,Chicago C,Daniel Yang,0,0,0,Columbia,Florida
ACF Nationals 2021,2,20210206,Chicago C,Yohhan Kumarasinghe,0,2,-10,Columbia,Florida
ACF Nationals 2021,2,20210207,Chicago B,John Marvin,5,3,35,North Carolina,Florida
ACF Nationals 2021,2,20210207,Chicago B,Sam Moore,1,1,5,North Carolina,Florida
ACF Nationals 2021,2,20210207,Chicago B,Wonyoung Jang,1,0,10,North Carolina,Florida
ACF Nationals 2021,2,20210207,Chicago B,Walker Combs,2,0,20,North Carolina,Florida
ACF Nationals 2021,2,20210207,North Carolina,Vincent Du,3,0,30,Chicago B,Florida
ACF Nationals 2021,2,20210207,North Carolina,Henry Goff,2,0,20,Chicago B,Florida
ACF Nationals 2021,2,20210207,North Carolina,Grant Peet,2,2,10,Chicago B,Florida
ACF Nationals 2021,2,20210207,North Carolina,Kevin Thomas,1,0,10,Chicago B,Florida
ACF Nationals 2021,2,20210208,Stanford,Tim Morrison,8,0,80,Cornell,Florida
ACF Nationals 2021,2,20210208,Stanford,Natan Holtzman,3,1,25,Cornell,Florida
ACF Nationals 2021,2,20210208,Stanford,Ethan Strombeck,2,0,20,Cornell,Florida
ACF Nationals 2021,2,20210208,Stanford,Eric Wolfsberg,2,1,15,Cornell,Florida
ACF Nationals 2021,2,20210208,Cornell,Raymond Wang,1,0,10,Stanford,Florida
ACF Nationals 2021,2,20210208,Cornell,Dan Ni,1,1,5,Stanford,Florida
ACF Nationals 2021,2,20210208,Cornell,Allan Lee,0,0,0,Stanford,Florida
ACF Nationals 2021,2,20210208,Cornell,Jonathan Tran,2,0,20,Stanford,Florida
ACF Nationals 2021,2,20210209,Northwestern,Rohin Devanathan,2,2,10,MIT,Florida
ACF Nationals 2021,2,20210209,Northwestern,Christopher Sims,3,1,25,MIT,Florida
ACF Nationals 2021,2,20210209,Northwestern,Andrew Salij,0,2,-10,MIT,Florida
ACF Nationals 2021,2,20210209,Northwestern,Nikhil Chellam,1,2,0,MIT,Florida
ACF Nationals 2021,2,20210209,MIT,David Gomez,2,0,20,Northwestern,Florida
ACF Nationals 2021,2,20210209,MIT,Katherine Lei,2,0,20,Northwestern,Florida
ACF Nationals 2021,2,20210209,MIT,Swapnil Garg,2,0,20,Northwestern,Florida
ACF Nationals 2021,2,20210209,MIT,Grace Liu,6,1,55,Northwestern,Florida
ACF Nationals 2021,2,20210210,Harvard B,Mazin Omer,0,0,0,Ohio State,Florida
ACF Nationals 2021,2,20210210,Harvard B,Christopher Gilmer-Hill,2,2,10,Ohio State,Florida
ACF Nationals 2021,2,20210210,Ohio State,Eddy Liu,1,0,10,Harvard B,Florida
ACF Nationals 2021,2,20210210,Ohio State,Roxanne Tang,0,0,0,Harvard B,Florida
ACF Nationals 2021,2,20210210,Ohio State,Chris Ray,10,0,100,Harvard B,Florida
ACF Nationals 2021,2,20210210,Ohio State,Clark Smith,3,1,25,Harvard B,Florida
ACF Nationals 2021,3,20210301,Harvard A,Ricky Li,5,1,45,Chicago B,Illinois
ACF Nationals 2021,3,20210301,Harvard A,Kelvin Li,2,0,20,Chicago B,Illinois
ACF Nationals 2021,3,20210301,Harvard A,Jason Golfinos,6,0,60,Chicago B,Illinois
ACF Nationals 2021,3,20210301,Harvard A,Thomas Gioia,1,0,10,Chicago B,Illinois
ACF Nationals 2021,3,20210301,Chicago B,John Marvin,1,1,5,Harvard A,Illinois
ACF Nationals 2021,3,20210301,Chicago B,Sam Moore,0,1,-5,Harvard A,Illinois
ACF Nationals 2021,3,20210301,Chicago B,Wonyoung Jang,2,0,20,Harvard A,Illinois
ACF Nationals 2021,3,20210301,Chicago B,Walker Combs,0,1,-5,Harvard A,Illinois
ACF Nationals 2021,3,20210302,Yale,Hasna Karim,2,0,20,Texas,Illinois
ACF Nationals 2021,3,20210302,Yale,Daniel Sheinberg,5,0,50,Texas,Illinois
ACF Nationals 2021,3,20210302,Yale,Matt Pecoraro,2,0,20,Texas,Illinois
ACF Nationals 2021,3,20210302,Yale,Michał Gerasimiuk,1,0,10,Texas,Illinois
ACF Nationals 2021,3,20210302,Texas,William Golden,2,0,20,Yale,Illinois
ACF Nationals 2021,3,20210302,Texas,Jaskaran Singh,3,0,30,Yale,Illinois
ACF Nationals 2021,3,20210302,Texas,Ryan Humphrey,1,0,10,Yale,Illinois
ACF Nationals 2021,3,20210302,Texas,Bradley McLain,2,0,20,Yale,Illinois
ACF Nationals 2021,3,20210303,Minnesota,Ben Weiner,2,0,20,Princeton,Illinois
ACF Nationals 2021,3,20210303,Minnesota,Davis Everson-Rose,4,1,35,Princeton,Illinois
ACF Nationals 2021,3,20210303,Minnesota,Ethan Ashbrook,4,0,40,Princeton,Illinois
ACF Nationals 2021,3,20210303,Minnesota,Urbas Ekka,1,0,10,Princeton,Illinois
ACF Nationals 2021,3,20210303,Princeton,Eve Fleisig,0,0,0,Minnesota,Illinois
ACF Nationals 2021,3,20210303,Princeton,Nathaniel Hull,5,0,50,Minnesota,Illinois
ACF Nationals 2021,3,20210303,Princeton,Maya Chande,0,1,-5,Minnesota,Illinois
ACF Nationals 2021,3,20210303,Princeton,Samuel Lockwood,0,0,0,Minnesota,Illinois
ACF Nationals 2021,3,20210304,Florida,Taylor Harvey,5,0,50,WUSTL,Illinois
ACF Nationals 2021,3,20210304,Florida,Jonathen Settle,1,1,5,WUSTL,Illinois
ACF Nationals 2021,3,20210304,Florida,Tracy Mirkin,5,0,50,WUSTL,Illinois
ACF Nationals 2021,3,20210304,Florida,Leo Law,0,1,-5,WUSTL,Illinois
ACF Nationals 2021,3,20210304,WUSTL,Charles Hang,3,2,20,Florida,Illinois
ACF Nationals 2021,3,20210304,WUSTL,Athena Kern,2,0,20,Florida,Illinois
ACF Nationals 2021,3,20210304,WUSTL,Jeremy Cummings,1,0,10,Florida,Illinois
ACF Nationals 2021,3,20210304,WUSTL,Paul Lee,1,1,5,Florida,Illinois
ACF Nationals 2021,3,20210305,Chicago A,Matthew Lehmann,4,1,35,Brown,Illinois
ACF Nationals 2021,3,20210305,Chicago A,Adam Fine,4,0,40,Brown,Illinois
ACF Nationals 2021,3,20210305,Chicago A,Alston Boyd,5,0,50,Brown,Illinois
ACF Nationals 2021,3,20210305,Chicago A,Ben Miller,1,1,5,Brown,Illinois
ACF Nationals 2021,3,20210305,Brown,Anson Berns,1,0,10,Chicago A,Illinois
ACF Nationals 2021,3,20210305,Brown,Jason Hong,1,0,10,Chicago A,Illinois
ACF Nationals 2021,3,20210305,Brown,Michael Li,0,0,0,Chicago A,Illinois
ACF Nationals 2021,3,20210305,Brown,Walter Zhang,3,0,30,Chicago A,Illinois
ACF Nationals 2021,3,20210306,Vanderbilt,Aidan Fein,0,0,0,Chicago C,Illinois
ACF Nationals 2021,3,20210306,Vanderbilt,Jacob Augelli,4,1,35,Chicago C,Illinois
ACF Nationals 2021,3,20210306,Vanderbilt,Michael Ponce,1,1,5,Chicago C,Illinois
ACF Nationals 2021,3,20210306,Vanderbilt,Jonathan Caldwell,1,3,-5,Chicago C,Illinois
ACF Nationals 2021,3,20210306,Chicago C,Vivek Sasse,3,0,30,Vanderbilt,Illinois
ACF Nationals 2021,3,20210306,Chicago C,Robert Condron,5,0,50,Vanderbilt,Illinois
ACF Nationals 2021,3,20210306,Chicago C,Daniel Yang,2,1,15,Vanderbilt,Illinois
ACF Nationals 2021,3,20210306,Chicago C,Yohhan Kumarasinghe,0,0,0,Vanderbilt,Illinois
ACF Nationals 2021,3,20210307,Harvard B,Mazin Omer,4,0,40,MIT,Illinois
ACF Nationals 2021,3,20210307,Harvard B,Christopher Gilmer-Hill,2,1,15,MIT,Illinois
ACF Nationals 2021,3,20210307,MIT,David Gomez,2,0,20,Harvard B,Illinois
ACF Nationals 2021,3,20210307,MIT,Katherine Lei,2,0,20,Harvard B,Illinois
ACF Nationals 2021,3,20210307,MIT,Swapnil Garg,2,1,15,Harvard B,Illinois
ACF Nationals 2021,3,20210307,MIT,Grace Liu,3,3,15,Harvard B,Illinois
ACF Nationals 2021,3,20210308,Georgia Tech,Tejas Santanam,2,0,20,Northwestern,Illinois
ACF Nationals 2021,3,20210308,Georgia Tech,Hari Parameswaran,4,1,35,Northwestern,Illinois
ACF Nationals 2021,3,20210308,Georgia Tech,Sarah Mueller,2,0,20,Northwestern,Illinois
ACF Nationals 2021,3,20210308,Georgia Tech,S.A. Shenoy,3,0,30,Northwestern,Illinois
ACF Nationals 2021,3,20210308,Northwestern,Rohin Devanathan,1,1,5,Georgia Tech,Illinois
ACF Nationals 2021,3,20210308,Northwestern,Christopher Sims,2,2,10,Georgia Tech,Illinois
ACF Nationals 2021,3,20210308,Northwestern,Andrew Salij,2,1,15,Georgia Tech,Illinois
ACF Nationals 2021,3,20210308,Northwestern,Nikhil Chellam,1,0,10,Georgia Tech,Illinois
ACF Nationals 2021,3,20210309,Cornell,Raymond Wang,1,2,0,North Carolina,Illinois
ACF Nationals 2021,3,20210309,Cornell,Dan Ni,0,0,0,North Carolina,Illinois
ACF Nationals 2021,3,20210309,Cornell,Allan Lee,2,0,20,North Carolina,Illinois
ACF Nationals 2021,3,20210309,Cornell,Jonathan Tran,3,0,30,North Carolina,Illinois
ACF Nationals 2021,3,20210309,North Carolina,Vincent Du,5,1,45,Cornell,Illinois
ACF Nationals 2021,3,20210309,North Carolina,Henry Goff,3,0,30,Cornell,Illinois
ACF Nationals 2021,3,20210309,North Carolina,Grant Peet,1,1,5,Cornell,Illinois
ACF Nationals 2021,3,20210309,North Carolina,Kevin Thomas,3,0,30,Cornell,Illinois
ACF Nationals 2021,3,20210310,Stanford,Tim Morrison,4,1,35,UC-Berkeley,Illinois
ACF Nationals 2021,3,20210310,Stanford,Natan Holtzman,1,1,5,UC-Berkeley,Illinois
ACF Nationals 2021,3,20210310,Stanford,Ethan Strombeck,2,0,20,UC-Berkeley,Illinois
ACF Nationals 2021,3,20210310,Stanford,Eric Wolfsberg,3,0,30,UC-Berkeley,Illinois
ACF Nationals 2021,3,20210310,UC-Berkeley,Michael Coates,1,0,10,Stanford,Illinois
ACF Nationals 2021,3,20210310,UC-Berkeley,Rahul Keyal,1,0,10,Stanford,Illinois
ACF Nationals 2021,3,20210310,UC-Berkeley,James Malouf,4,1,35,Stanford,Illinois
ACF Nationals 2021,3,20210310,UC-Berkeley,Shahar Schwartz,1,1,5,Stanford,Illinois
ACF Nationals 2021,4,20210401,Columbia,Will Alston,9,2,80,Vanderbilt,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210401,Columbia,Noah Chen,3,0,30,Vanderbilt,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210401,Columbia,Noah Sheidlower,2,0,20,Vanderbilt,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210401,Columbia,Caroline Mao,0,0,0,Vanderbilt,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210401,Vanderbilt,Aidan Fein,0,1,-5,Columbia,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210401,Vanderbilt,Jacob Augelli,1,0,10,Columbia,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210401,Vanderbilt,Michael Ponce,0,0,0,Columbia,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210401,Vanderbilt,Jonathan Caldwell,2,0,20,Columbia,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210402,Harvard A,Ricky Li,2,0,20,Cornell,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210402,Harvard A,Kelvin Li,2,0,20,Cornell,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210402,Harvard A,Jason Golfinos,9,0,90,Cornell,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210402,Harvard A,Thomas Gioia,4,0,40,Cornell,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210402,Cornell,Raymond Wang,0,1,-5,Harvard A,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210402,Cornell,Dan Ni,1,2,0,Harvard A,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210402,Cornell,Allan Lee,0,0,0,Harvard A,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210402,Cornell,Jonathan Tran,1,0,10,Harvard A,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210403,Texas,William Golden,5,0,50,Maryland,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210403,Texas,Jaskaran Singh,2,0,20,Maryland,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210403,Texas,Ryan Humphrey,0,0,0,Maryland,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210403,Texas,Bradley McLain,5,0,50,Maryland,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210403,Maryland,Vishwa Shanmugam,0,1,-5,Texas,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210403,Maryland,Connor Mayers,1,0,10,Texas,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210403,Maryland,Caleb Kendrick,2,2,10,Texas,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210403,Maryland,Graham Reid,3,1,25,Texas,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210404,Yale,Hasna Karim,2,1,15,Chicago C,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210404,Yale,Daniel Sheinberg,5,0,50,Chicago C,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210404,Yale,Matt Pecoraro,3,0,30,Chicago C,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210404,Yale,Michał Gerasimiuk,6,0,60,Chicago C,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210404,Chicago C,Vivek Sasse,1,2,0,Yale,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210404,Chicago C,Robert Condron,0,0,0,Yale,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210404,Chicago C,Daniel Yang,1,0,10,Yale,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210404,Chicago C,Yohhan Kumarasinghe,0,0,0,Yale,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210405,UC-Berkeley,Michael Coates,2,0,20,Chicago B,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210405,UC-Berkeley,Rahul Keyal,6,0,60,Chicago B,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210405,UC-Berkeley,James Malouf,6,1,55,Chicago B,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210405,UC-Berkeley,Shahar Schwartz,2,0,20,Chicago B,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210405,Chicago B,John Marvin,2,0,20,UC-Berkeley,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210405,Chicago B,Sam Moore,1,0,10,UC-Berkeley,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210405,Chicago B,Wonyoung Jang,0,0,0,UC-Berkeley,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210405,Chicago B,Walker Combs,0,2,-10,UC-Berkeley,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210406,MIT,David Gomez,0,0,0,Ohio State,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210406,MIT,Katherine Lei,2,0,20,Ohio State,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210406,MIT,Swapnil Garg,1,0,10,Ohio State,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210406,MIT,Grace Liu,3,1,25,Ohio State,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210406,Ohio State,Eddy Liu,1,1,5,MIT,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210406,Ohio State,Roxanne Tang,1,0,10,MIT,Chicago B [= Stanford + Chicago A]
ACF Nationals 2021,4,20210406,Ohio State,Chris Ray,6,2,50,MIT,Chicago B [= Stanford + Chicago A]
