tournament,round,game_id,team,status,opponent,result,pf,pa,tossups,negs,bhrd,bpts,PPB,packet
ACF Nationals 2019,17,20191708,Penn State,NA,UCLA,L,120,240,5,2,5,80,16,Editors 8
ACF Nationals 2019,17,20191708,UCLA,UG,Penn State,W,240,120,11,0,11,130,11.82,Editors 8
ACF Nationals 2019,17,20191709,Rutgers,NA,Yale B,W,255,130,11,1,11,150,13.64,Editors 8
ACF Nationals 2019,17,20191709,Yale B,UG,Rutgers,L,130,255,7,2,7,70,10,Editors 8
ACF Nationals 2019,17,20191710,Central Florida,UG,Florida B,W,150,135,8,0,8,70,8.75,Editors 8
ACF Nationals 2019,17,20191710,Florida B,UG,Central Florida,L,135,150,8,1,8,60,7.5,Editors 8
ACF Nationals 2019,17,20191711,Illinois B,D2,New College of Florida,W,140,105,8,2,8,70,8.75,Editors 8
ACF Nationals 2019,17,20191711,New College of Florida,NA,Illinois B,L,105,140,7,1,7,40,5.71,Editors 8
ACF Nationals 2019,17,20191712,Carnegie Mellon,UG,NYU,L,115,150,7,3,7,60,8.57,Editors 8
ACF Nationals 2019,17,20191712,NYU,UG,Carnegie Mellon,W,150,115,9,0,9,60,6.67,Editors 8
ACF Nationals 2019,17,20191713,MIT A,UG,Oxford A,L,150,205,6,0,6,90,15,Editors 8
ACF Nationals 2019,17,20191713,Oxford A,NA,MIT A,W,205,150,9,1,9,120,13.33,Editors 8
ACF Nationals 2019,17,20191714,Chicago C,NA,WUSTL,L,160,215,7,2,7,100,14.29,Editors 8
ACF Nationals 2019,17,20191714,WUSTL,NA,Chicago C,W,215,160,10,1,10,120,12,Editors 8
ACF Nationals 2019,17,20191715,Auburn,UG,Wright State,L,120,180,7,0,7,50,7.14,Editors 8
ACF Nationals 2019,17,20191715,Wright State,NA,Auburn,W,180,120,10,2,10,90,9,Editors 8
ACF Nationals 2019,17,20191716,Columbia A,NA,Maryland A,W,410,95,14,0,14,270,19.29,Editors 8
ACF Nationals 2019,17,20191716,Maryland A,NA,Columbia A,L,95,410,5,7,5,80,16,Editors 8
ACF Nationals 2019,17,20191717,Florida A,NA,Virginia A,W,230,200,9,2,9,150,16.67,Editors 8
ACF Nationals 2019,17,20191717,Virginia A,NA,Florida A,L,200,230,8,2,8,130,16.25,Editors 8
ACF Nationals 2019,17,20191718,Delaware,UG,Toronto A,W,200,150,9,2,9,120,13.33,Editors 8
ACF Nationals 2019,17,20191718,Toronto A,NA,Delaware,L,150,200,7,2,7,90,12.86,Editors 8
ACF Nationals 2019,17,20191719,Chicago A,NA,Minnesota A,W,325,190,12,3,12,220,18.33,Editors 8
ACF Nationals 2019,17,20191719,Minnesota A,NA,Chicago A,L,190,325,7,4,7,140,20,Editors 8
ACF Nationals 2019,17,20191720,Illinois A,UG,Ohio State,L,110,305,5,2,5,70,14,Editors 8
ACF Nationals 2019,17,20191720,Ohio State,NA,Illinois A,W,305,110,12,3,12,200,16.67,Editors 8
ACF Nationals 2019,17,20191721,Harvard A,UG,Johns Hopkins,L,145,255,7,1,7,80,11.43,Editors 8
ACF Nationals 2019,17,20191721,Johns Hopkins,NA,Harvard A,W,255,145,11,1,11,150,13.64,Editors 8
ACF Nationals 2019,17,20191722,McGill,NA,Stanford A,W,235,170,10,1,10,140,14,Editors 8
ACF Nationals 2019,17,20191722,Stanford A,NA,McGill,L,170,235,8,2,8,100,12.5,Editors 8
ACF Nationals 2019,17,20191723,Berkeley A,UG,Michigan State,L,220,240,9,2,9,140,15.56,Editors 8
ACF Nationals 2019,17,20191723,Michigan State,UG,Berkeley A,W,240,220,11,2,11,140,12.73,Editors 8
ACF Nationals 2019,17,20191724,Berkeley B,NA,Penn A,W,225,215,10,1,10,130,13,Editors 8
ACF Nationals 2019,17,20191724,Penn A,NA,Berkeley B,L,215,225,8,1,8,140,17.5,Editors 8
ACF Nationals 2019,18,20191801,Harvard B,D2,Minnesota B,W,170,155,8,2,8,100,12.5,Play-in (Editors)
ACF Nationals 2019,18,20191801,Minnesota B,D2,Harvard B,L,155,170,8,3,8,90,11.25,Play-in (Editors)
ACF Nationals 2019,19,20191901,Berkeley A,UG,Michigan State,W,260,210,10,2,10,170,17,Finals 2
ACF Nationals 2019,19,20191901,Michigan State,UG,Berkeley A,L,210,260,9,0,9,120,13.33,Finals 2
ACF Nationals 2019,20,20192001,Chicago A,NA,Columbia A,L,165,260,7,5,7,120,17.14,Finals 1
ACF Nationals 2019,20,20192001,Columbia A,NA,Chicago A,W,260,165,11,2,11,160,14.55,Finals 1
ACF Nationals 2018,1,20180101,Berkeley B,NA,Kentucky,W,200,145,8,4,8,140,17.5,Oxford/Duke
ACF Nationals 2018,1,20180101,Kentucky,NA,Berkeley B,L,145,200,8,3,8,80,10,Oxford/Duke
ACF Nationals 2018,1,20180102,Chicago C,UG,MIT B,L,100,200,5,4,5,70,14,Oxford/Duke
ACF Nationals 2018,1,20180102,MIT B,UG,Chicago C,W,200,100,10,2,10,110,11,Oxford/Duke
ACF Nationals 2018,1,20180103,Florida A,NA,Harvard B,W,175,130,8,1,8,100,12.5,Oxford/Duke
ACF Nationals 2018,1,20180103,Harvard B,D2,Florida A,L,130,175,7,2,7,70,10,Oxford/Duke
ACF Nationals 2018,1,20180104,Berkeley C,UG,McGill,L,125,230,7,3,7,70,10,Oxford/Duke
ACF Nationals 2018,1,20180104,McGill,NA,Berkeley C,W,230,125,10,2,10,140,14,Oxford/Duke
ACF Nationals 2018,1,20180105,Carnegie Mellon,UG,Michigan A,L,60,245,5,4,5,30,6,Oxford/Duke
ACF Nationals 2018,1,20180105,Michigan A,NA,Carnegie Mellon,W,245,60,11,3,11,150,13.64,Oxford/Duke
ACF Nationals 2018,1,20180106,Chicago B,NA,WUSTL,W,200,180,8,4,8,140,17.5,Oxford/Duke
ACF Nationals 2018,1,20180106,WUSTL,NA,Chicago B,L,180,200,9,2,9,100,11.11,Oxford/Duke
ACF Nationals 2018,1,20180107,Minnesota B,NA,Penn A,L,65,355,3,1,3,40,13.33,Oxford/Duke
ACF Nationals 2018,1,20180107,Penn A,NA,Minnesota B,W,355,65,14,3,14,230,16.43,Oxford/Duke
ACF Nationals 2018,1,20180108,Central Florida,UG,Yale A,L,-5,460,0,1,0,0,NaN,Oxford/Duke
ACF Nationals 2018,1,20180108,Yale A,NA,Central Florida,W,460,-5,15,2,15,320,21.33,Oxford/Duke
ACF Nationals 2018,1,20180109,Berkeley A,UG,Michigan State,W,375,135,13,1,13,250,19.23,Oxford/Duke
ACF Nationals 2018,1,20180109,Michigan State,UG,Berkeley A,L,135,375,6,1,6,80,13.33,Oxford/Duke
ACF Nationals 2018,1,20180110,Caltech A,UG,Minnesota A,L,85,350,5,1,5,40,8,Oxford/Duke
ACF Nationals 2018,1,20180110,Minnesota A,NA,Caltech A,W,350,85,12,2,12,240,20,Oxford/Duke
ACF Nationals 2018,1,20180111,Amherst,UG,Delaware,W,170,160,7,2,7,110,15.71,Oxford/Duke
ACF Nationals 2018,1,20180111,Delaware,UG,Amherst,L,160,170,8,2,8,90,11.25,Oxford/Duke
ACF Nationals 2018,1,20180112,MIT A,NA,NYU,W,220,125,10,0,10,120,12,Oxford/Duke
ACF Nationals 2018,1,20180112,NYU,NA,MIT A,L,125,220,6,5,6,90,15,Oxford/Duke
ACF Nationals 2018,1,20180113,Maryland A,NA,Virginia A,W,195,155,9,3,9,120,13.33,Oxford/Duke
ACF Nationals 2018,1,20180113,Virginia A,NA,Maryland A,L,155,195,7,1,7,90,12.86,Oxford/Duke
ACF Nationals 2018,1,20180114,Chicago A,NA,Penn State,W,365,75,13,3,13,250,19.23,Oxford/Duke
ACF Nationals 2018,1,20180114,Penn State,NA,Chicago A,L,75,365,4,3,4,50,12.5,Oxford/Duke
ACF Nationals 2018,1,20180115,Missouri,NA,UCLA,W,315,115,12,3,12,210,17.5,Oxford/Duke
ACF Nationals 2018,1,20180115,UCLA,UG,Missouri,L,115,315,6,5,6,80,13.33,Oxford/Duke
ACF Nationals 2018,1,20180116,Oklahoma,UG,UCSD A,W,305,125,11,3,11,210,19.09,Oxford/Duke
ACF Nationals 2018,1,20180116,UCSD A,NA,Oklahoma,L,125,305,6,1,6,70,11.67,Oxford/Duke
ACF Nationals 2018,1,20180117,Cambridge,NA,Rutgers,W,310,145,12,0,12,190,15.83,Oxford/Duke
ACF Nationals 2018,1,20180117,Rutgers,NA,Cambridge,L,145,310,6,5,6,110,18.33,Oxford/Duke
ACF Nationals 2018,1,20180118,Harvard A,UG,Toronto A,L,55,220,3,3,3,40,13.33,Oxford/Duke
ACF Nationals 2018,1,20180118,Toronto A,NA,Harvard A,W,220,55,9,2,9,140,15.56,Oxford/Duke
ACF Nationals 2018,1,20180119,North Carolina,NA,Ohio State,L,55,255,3,1,3,30,10,Oxford/Duke
ACF Nationals 2018,1,20180119,Ohio State,NA,North Carolina,W,255,55,11,3,11,160,14.55,Oxford/Duke
ACF Nationals 2018,1,20180120,Johns Hopkins,NA,Penn B,W,215,0,9,3,9,140,15.56,Oxford/Duke
ACF Nationals 2018,1,20180120,Penn B,UG,Johns Hopkins,L,0,215,2,6,2,10,5,Oxford/Duke
ACF Nationals 2018,2,20180201,Harvard B,D2,Northwestern,L,25,350,2,1,2,10,5,Minnesota A
ACF Nationals 2018,2,20180201,Northwestern,NA,Harvard B,W,350,25,15,2,15,210,14,Minnesota A
ACF Nationals 2018,2,20180202,Berkeley A,UG,Florida A,W,300,175,11,2,11,200,18.18,Minnesota A
ACF Nationals 2018,2,20180202,Florida A,NA,Berkeley A,L,175,300,8,1,8,100,12.5,Minnesota A
ACF Nationals 2018,2,20180203,Chicago B,NA,Oxford A,L,135,315,6,1,6,80,13.33,Minnesota A
ACF Nationals 2018,2,20180203,Oxford A,NA,Chicago B,W,315,135,12,1,12,200,16.67,Minnesota A
ACF Nationals 2018,2,20180204,Illinois A,UG,Minnesota B,L,115,155,6,1,6,60,10,Minnesota A
ACF Nationals 2018,2,20180204,Minnesota B,NA,Illinois A,W,155,115,8,3,8,90,11.25,Minnesota A
ACF Nationals 2018,2,20180205,Michigan A,NA,Michigan State,W,335,100,14,1,14,200,14.29,Minnesota A
ACF Nationals 2018,2,20180205,Michigan State,UG,Michigan A,L,100,335,5,4,5,70,14,Minnesota A
ACF Nationals 2018,2,20180206,McGill,NA,WUSTL,W,235,220,10,3,10,150,15,Minnesota A
ACF Nationals 2018,2,20180206,WUSTL,NA,McGill,L,220,235,9,2,9,140,15.56,Minnesota A
ACF Nationals 2018,2,20180207,Central Florida,UG,New College of Florida,W,125,120,6,1,6,70,11.67,Minnesota A
ACF Nationals 2018,2,20180207,New College of Florida,UG,Central Florida,L,120,125,6,2,6,70,11.67,Minnesota A
ACF Nationals 2018,2,20180208,Berkeley B,NA,MIT B,W,330,125,12,4,12,230,19.17,Minnesota A
ACF Nationals 2018,2,20180208,MIT B,UG,Berkeley B,L,125,330,6,1,6,70,11.67,Minnesota A
ACF Nationals 2018,2,20180209,Amherst,UG,Chicago A,L,90,340,5,2,5,50,10,Minnesota A
ACF Nationals 2018,2,20180209,Chicago A,NA,Amherst,W,340,90,12,2,12,230,19.17,Minnesota A
ACF Nationals 2018,2,20180210,Delaware,UG,Maryland A,L,90,320,4,2,4,60,15,Minnesota A
ACF Nationals 2018,2,20180210,Maryland A,NA,Delaware,W,320,90,14,2,14,190,13.57,Minnesota A
ACF Nationals 2018,2,20180211,Penn B,UG,Rutgers,L,105,180,6,1,6,50,8.33,Minnesota A
ACF Nationals 2018,2,20180211,Rutgers,NA,Penn B,W,180,105,9,4,9,110,12.22,Minnesota A
ACF Nationals 2018,2,20180212,Ohio State,NA,Toronto A,W,280,165,11,2,11,180,16.36,Minnesota A
ACF Nationals 2018,2,20180212,Toronto A,NA,Ohio State,L,165,280,8,3,8,100,12.5,Minnesota A
ACF Nationals 2018,2,20180213,Johns Hopkins,NA,North Carolina,W,355,55,14,1,14,220,15.71,Minnesota A
ACF Nationals 2018,2,20180213,North Carolina,NA,Johns Hopkins,L,55,355,3,1,3,30,10,Minnesota A
ACF Nationals 2018,2,20180214,NYU,NA,Oklahoma,L,60,290,3,2,3,40,13.33,Minnesota A
ACF Nationals 2018,2,20180214,Oklahoma,UG,NYU,W,290,60,12,4,12,190,15.83,Minnesota A
ACF Nationals 2018,2,20180215,Penn State,NA,UCLA,W,165,140,8,3,8,100,12.5,Minnesota A
ACF Nationals 2018,2,20180215,UCLA,UG,Penn State,L,140,165,7,2,7,80,11.43,Minnesota A
ACF Nationals 2018,2,20180216,Columbia A,NA,MIT A,W,400,65,14,2,14,270,19.29,Minnesota A
ACF Nationals 2018,2,20180216,MIT A,NA,Columbia A,L,65,400,3,1,3,40,13.33,Minnesota A
ACF Nationals 2018,2,20180217,Missouri,NA,Virginia A,W,195,135,9,3,9,120,13.33,Minnesota A
ACF Nationals 2018,2,20180217,Virginia A,NA,Missouri,L,135,195,7,3,7,80,11.43,Minnesota A
ACF Nationals 2018,2,20180218,Cambridge,NA,Harvard A,W,365,105,13,1,13,240,18.46,Minnesota A
ACF Nationals 2018,2,20180218,Harvard A,UG,Cambridge,L,105,365,6,1,6,50,8.33,Minnesota A
ACF Nationals 2018,2,20180219,Chicago C,UG,Duke,L,145,175,7,5,7,100,14.29,Minnesota A
ACF Nationals 2018,2,20180219,Duke,UG,Chicago C,W,175,145,9,1,9,90,10,Minnesota A
ACF Nationals 2018,2,20180220,Caltech A,UG,Chicago D,L,90,215,5,4,5,60,12,Minnesota A
ACF Nationals 2018,2,20180220,Chicago D,UG,Caltech A,W,215,90,10,3,10,130,13,Minnesota A
ACF Nationals 2018,3,20180301,Duke,UG,MIT B,W,260,115,11,4,11,170,15.45,Michigan A
ACF Nationals 2018,3,20180301,MIT B,UG,Duke,L,115,260,5,3,5,80,16,Michigan A
ACF Nationals 2018,3,20180302,Oxford A,NA,WUSTL,L,170,220,8,2,8,100,12.5,Michigan A
ACF Nationals 2018,3,20180302,WUSTL,NA,Oxford A,W,220,170,11,2,11,120,10.91,Michigan A
ACF Nationals 2018,3,20180303,Chicago C,UG,Penn A,L,155,360,7,1,7,90,12.86,Michigan A
ACF Nationals 2018,3,20180303,Penn A,NA,Chicago C,W,360,155,12,2,12,250,20.83,Michigan A
ACF Nationals 2018,3,20180304,Berkeley B,NA,Illinois A,W,240,125,11,2,11,140,12.73,Michigan A
ACF Nationals 2018,3,20180304,Illinois A,UG,Berkeley B,L,125,240,7,3,7,70,10,Michigan A
ACF Nationals 2018,3,20180305,Florida A,NA,Michigan State,W,245,150,11,1,11,140,12.73,Michigan A
ACF Nationals 2018,3,20180305,Michigan State,UG,Florida A,L,150,245,7,4,7,100,14.29,Michigan A
ACF Nationals 2018,3,20180306,Chicago B,NA,Yale A,L,170,320,8,4,8,110,13.75,Michigan A
ACF Nationals 2018,3,20180306,Yale A,NA,Chicago B,W,320,170,11,2,11,220,20,Michigan A
ACF Nationals 2018,3,20180307,McGill,NA,New College of Florida,W,295,80,13,3,13,180,13.85,Michigan A
ACF Nationals 2018,3,20180307,New College of Florida,UG,McGill,L,80,295,3,0,3,50,16.67,Michigan A
ACF Nationals 2018,3,20180308,Carnegie Mellon,UG,Northwestern,L,85,295,5,1,5,40,8,Michigan A
ACF Nationals 2018,3,20180308,Northwestern,NA,Carnegie Mellon,W,295,85,13,1,13,170,13.08,Michigan A
ACF Nationals 2018,3,20180309,Berkeley C,UG,Central Florida,W,225,100,10,1,10,130,13,Michigan A
ACF Nationals 2018,3,20180309,Central Florida,UG,Berkeley C,L,100,225,5,0,5,50,10,Michigan A
ACF Nationals 2018,3,20180310,Harvard A,UG,Johns Hopkins,W,225,110,11,1,11,120,10.91,Michigan A
ACF Nationals 2018,3,20180310,Johns Hopkins,NA,Harvard A,L,110,225,6,4,6,70,11.67,Michigan A
ACF Nationals 2018,3,20180311,North Carolina,NA,Rutgers,L,70,145,5,4,5,40,8,Michigan A
ACF Nationals 2018,3,20180311,Rutgers,NA,North Carolina,W,145,70,8,3,8,80,10,Michigan A
ACF Nationals 2018,3,20180312,Ohio State,NA,Penn B,W,300,55,13,4,13,190,14.62,Michigan A
ACF Nationals 2018,3,20180312,Penn B,UG,Ohio State,L,55,300,3,1,3,30,10,Michigan A
ACF Nationals 2018,3,20180313,Maryland A,NA,Penn State,W,290,95,12,2,12,180,15,Michigan A
ACF Nationals 2018,3,20180313,Penn State,NA,Maryland A,L,95,290,5,1,5,50,10,Michigan A
ACF Nationals 2018,3,20180314,Chicago A,NA,UCLA,W,335,105,13,3,13,220,16.92,Michigan A
ACF Nationals 2018,3,20180314,UCLA,UG,Chicago A,L,105,335,5,1,5,60,12,Michigan A
ACF Nationals 2018,3,20180315,Caltech A,UG,UCSD A,L,95,225,7,1,7,30,4.29,Michigan A
ACF Nationals 2018,3,20180315,UCSD A,NA,Caltech A,W,225,95,10,3,10,140,14,Michigan A
ACF Nationals 2018,3,20180316,Columbia A,NA,NYU,W,455,50,15,3,15,320,21.33,Michigan A
ACF Nationals 2018,3,20180316,NYU,NA,Columbia A,L,50,455,3,2,3,30,10,Michigan A
ACF Nationals 2018,3,20180317,Minnesota A,NA,MIT A,W,305,165,11,1,11,200,18.18,Michigan A
ACF Nationals 2018,3,20180317,MIT A,NA,Minnesota A,L,165,305,8,1,8,90,11.25,Michigan A
ACF Nationals 2018,3,20180318,Chicago D,UG,Oklahoma,L,90,250,5,0,5,40,8,Michigan A
ACF Nationals 2018,3,20180318,Oklahoma,UG,Chicago D,W,250,90,11,2,11,150,13.64,Michigan A
ACF Nationals 2018,3,20180319,Delaware,UG,Virginia A,L,185,205,9,3,9,110,12.22,Michigan A
ACF Nationals 2018,3,20180319,Virginia A,NA,Delaware,W,205,185,9,1,9,120,13.33,Michigan A
ACF Nationals 2018,3,20180320,Kentucky,NA,Minnesota B,W,150,145,8,4,8,90,11.25,Michigan A
ACF Nationals 2018,3,20180320,Minnesota B,NA,Kentucky,L,145,150,8,3,8,80,10,Michigan A
ACF Nationals 2018,4,20180401,Johns Hopkins,NA,Toronto A,W,250,140,11,2,11,150,13.64,Maryland A
ACF Nationals 2018,4,20180401,Toronto A,NA,Johns Hopkins,L,140,250,6,2,6,90,15,Maryland A
ACF Nationals 2018,4,20180402,Chicago D,UG,Minnesota A,L,40,375,3,2,3,20,6.67,Maryland A
ACF Nationals 2018,4,20180402,Minnesota A,NA,Chicago D,W,375,40,14,1,14,240,17.14,Maryland A
ACF Nationals 2018,4,20180403,Delaware,UG,Missouri,L,25,400,2,3,2,20,10,Maryland A
ACF Nationals 2018,4,20180403,Missouri,NA,Delaware,W,400,25,14,2,14,270,19.29,Maryland A
ACF Nationals 2018,4,20180404,Columbia A,NA,Oklahoma,W,315,175,12,1,12,200,16.67,Maryland A
ACF Nationals 2018,4,20180404,Oklahoma,UG,Columbia A,L,175,315,8,3,8,110,13.75,Maryland A
ACF Nationals 2018,4,20180405,Harvard A,UG,Rutgers,W,175,135,8,3,8,110,13.75,Maryland A
ACF Nationals 2018,4,20180405,Rutgers,NA,Harvard A,L,135,175,8,3,8,70,8.75,Maryland A
ACF Nationals 2018,4,20180406,Caltech A,UG,MIT A,L,85,365,4,1,4,50,12.5,Maryland A
ACF Nationals 2018,4,20180406,MIT A,NA,Caltech A,W,365,85,15,1,15,220,14.67,Maryland A
ACF Nationals 2018,4,20180407,Cambridge,NA,North Carolina,W,320,55,12,2,12,210,17.5,Maryland A
ACF Nationals 2018,4,20180407,North Carolina,NA,Cambridge,L,55,320,4,1,4,20,5,Maryland A
ACF Nationals 2018,4,20180408,New College of Florida,UG,Yale A,L,85,445,4,1,4,50,12.5,Maryland A
ACF Nationals 2018,4,20180408,Yale A,NA,New College of Florida,W,445,85,15,1,15,300,20,Maryland A
ACF Nationals 2018,4,20180409,Michigan State,UG,Northwestern,W,205,160,8,1,8,130,16.25,Maryland A
ACF Nationals 2018,4,20180409,Northwestern,NA,Michigan State,L,160,205,7,4,7,110,15.71,Maryland A
ACF Nationals 2018,4,20180410,Central Florida,UG,Chicago B,L,20,325,1,0,1,10,10,Maryland A
ACF Nationals 2018,4,20180410,Chicago B,NA,Central Florida,W,325,20,12,1,12,210,17.5,Maryland A
ACF Nationals 2018,4,20180411,Illinois A,UG,Penn A,L,55,375,2,1,2,40,20,Maryland A
ACF Nationals 2018,4,20180411,Penn A,NA,Illinois A,W,375,55,13,5,13,270,20.77,Maryland A
ACF Nationals 2018,4,20180412,Florida A,NA,Michigan A,W,295,145,12,1,12,180,15,Maryland A
ACF Nationals 2018,4,20180412,Michigan A,NA,Florida A,L,145,295,7,3,7,90,12.86,Maryland A
ACF Nationals 2018,4,20180413,Berkeley C,UG,WUSTL,L,110,225,5,0,5,60,12,Maryland A
ACF Nationals 2018,4,20180413,WUSTL,NA,Berkeley C,W,225,110,9,1,9,140,15.56,Maryland A
ACF Nationals 2018,4,20180414,Chicago C,UG,Minnesota B,W,205,55,11,1,11,100,9.09,Maryland A
ACF Nationals 2018,4,20180414,Minnesota B,NA,Chicago C,L,55,205,4,3,4,30,7.5,Maryland A
ACF Nationals 2018,4,20180415,McGill,NA,Oxford A,L,160,215,7,2,7,100,14.29,Maryland A
ACF Nationals 2018,4,20180415,Oxford A,NA,McGill,W,215,160,9,3,9,140,15.56,Maryland A
ACF Nationals 2018,4,20180416,Kentucky,NA,MIT B,W,135,115,7,1,7,70,10,Maryland A
ACF Nationals 2018,4,20180416,MIT B,UG,Kentucky,L,115,135,6,1,6,60,10,Maryland A
ACF Nationals 2018,4,20180417,Berkeley B,NA,Duke,W,255,195,11,3,11,160,14.55,Maryland A
ACF Nationals 2018,4,20180417,Duke,UG,Berkeley B,L,195,255,7,1,7,130,18.57,Maryland A
ACF Nationals 2018,4,20180418,Amherst,UG,Penn State,W,140,135,7,2,7,80,11.43,Maryland A
ACF Nationals 2018,4,20180418,Penn State,NA,Amherst,L,135,140,7,1,7,70,10,Maryland A
ACF Nationals 2018,4,20180419,Chicago A,NA,Virginia A,W,285,130,10,3,10,200,20,Maryland A
ACF Nationals 2018,4,20180419,Virginia A,NA,Chicago A,L,130,285,5,0,5,80,16,Maryland A
ACF Nationals 2018,4,20180420,NYU,NA,UCSD A,L,70,255,4,2,4,40,10,Maryland A
ACF Nationals 2018,4,20180420,UCSD A,NA,NYU,W,255,70,10,1,10,160,16,Maryland A
ACF Nationals 2018,5,20180501,Caltech A,UG,NYU,L,80,205,4,4,4,60,15,Oklahoma/Michigan B
ACF Nationals 2018,5,20180501,NYU,NA,Caltech A,W,205,80,9,1,9,120,13.33,Oklahoma/Michigan B
ACF Nationals 2018,5,20180502,Cambridge,NA,Johns Hopkins,L,170,335,6,6,6,140,23.33,Oklahoma/Michigan B
ACF Nationals 2018,5,20180502,Johns Hopkins,NA,Cambridge,W,335,170,13,1,13,210,16.15,Oklahoma/Michigan B
ACF Nationals 2018,5,20180503,Harvard A,UG,Ohio State,L,115,305,6,1,6,60,10,Oklahoma/Michigan B
ACF Nationals 2018,5,20180503,Ohio State,NA,Harvard A,W,305,115,12,1,12,190,15.83,Oklahoma/Michigan B
ACF Nationals 2018,5,20180504,Rutgers,NA,Toronto A,W,260,150,10,2,10,170,17,Oklahoma/Michigan B
ACF Nationals 2018,5,20180504,Toronto A,NA,Rutgers,L,150,260,7,2,7,90,12.86,Oklahoma/Michigan B
ACF Nationals 2018,5,20180505,North Carolina,NA,Penn B,W,205,50,10,1,10,110,11,Oklahoma/Michigan B
ACF Nationals 2018,5,20180505,Penn B,UG,North Carolina,L,50,205,3,4,3,40,13.33,Oklahoma/Michigan B
ACF Nationals 2018,5,20180506,UCLA,UG,Virginia A,L,90,280,4,0,4,50,12.5,Oklahoma/Michigan B
ACF Nationals 2018,5,20180506,Virginia A,NA,UCLA,W,280,90,13,2,13,160,12.31,Oklahoma/Michigan B
ACF Nationals 2018,5,20180507,Minnesota B,NA,MIT B,W,165,140,9,3,9,90,10,Oklahoma/Michigan B
ACF Nationals 2018,5,20180507,MIT B,UG,Minnesota B,L,140,165,6,2,6,90,15,Oklahoma/Michigan B
ACF Nationals 2018,5,20180508,Duke,UG,Illinois A,L,190,220,6,0,6,130,21.67,Oklahoma/Michigan B
ACF Nationals 2018,5,20180508,Illinois A,UG,Duke,W,220,190,10,2,10,130,13,Oklahoma/Michigan B
ACF Nationals 2018,5,20180509,Kentucky,NA,Penn A,L,55,420,3,1,3,30,10,Oklahoma/Michigan B
ACF Nationals 2018,5,20180509,Penn A,NA,Kentucky,W,420,55,15,2,15,280,18.67,Oklahoma/Michigan B
ACF Nationals 2018,5,20180510,New College of Florida,UG,Oxford A,L,35,270,3,3,3,20,6.67,Oklahoma/Michigan B
ACF Nationals 2018,5,20180510,Oxford A,NA,New College of Florida,W,270,35,11,2,11,170,15.45,Oklahoma/Michigan B
ACF Nationals 2018,5,20180511,Berkeley C,UG,Yale A,L,75,450,4,1,4,40,10,Oklahoma/Michigan B
ACF Nationals 2018,5,20180511,Yale A,NA,Berkeley C,W,450,75,15,2,15,310,20.67,Oklahoma/Michigan B
ACF Nationals 2018,5,20180512,Minnesota A,NA,UCSD A,W,300,75,11,2,11,200,18.18,Oklahoma/Michigan B
ACF Nationals 2018,5,20180512,UCSD A,NA,Minnesota A,L,75,300,5,3,5,40,8,Oklahoma/Michigan B
ACF Nationals 2018,5,20180513,Chicago A,NA,Missouri,W,250,230,10,2,10,160,16,Oklahoma/Michigan B
ACF Nationals 2018,5,20180513,Missouri,NA,Chicago A,L,230,250,9,0,9,140,15.56,Oklahoma/Michigan B
ACF Nationals 2018,5,20180514,Delaware,UG,Penn State,W,170,120,8,2,8,100,12.5,Oklahoma/Michigan B
ACF Nationals 2018,5,20180514,Penn State,NA,Delaware,L,120,170,7,0,7,50,7.14,Oklahoma/Michigan B
ACF Nationals 2018,5,20180515,Amherst,UG,Maryland A,L,175,235,8,1,8,100,12.5,Oklahoma/Michigan B
ACF Nationals 2018,5,20180515,Maryland A,NA,Amherst,W,235,175,10,1,10,140,14,Oklahoma/Michigan B
ACF Nationals 2018,5,20180516,Carnegie Mellon,UG,Michigan State,L,90,230,5,2,5,50,10,Oklahoma/Michigan B
ACF Nationals 2018,5,20180516,Michigan State,UG,Carnegie Mellon,W,230,90,11,2,11,130,11.82,Oklahoma/Michigan B
ACF Nationals 2018,5,20180517,Berkeley A,UG,Harvard B,W,340,65,13,4,13,230,17.69,Oklahoma/Michigan B
ACF Nationals 2018,5,20180517,Harvard B,D2,Berkeley A,L,65,340,4,1,4,30,7.5,Oklahoma/Michigan B
ACF Nationals 2018,5,20180518,Central Florida,UG,WUSTL,L,20,360,1,0,1,10,10,Oklahoma/Michigan B
ACF Nationals 2018,5,20180518,WUSTL,NA,Central Florida,W,360,20,14,2,14,230,16.43,Oklahoma/Michigan B
ACF Nationals 2018,5,20180519,Chicago D,UG,Columbia A,L,155,335,6,1,6,100,16.67,Oklahoma/Michigan B
ACF Nationals 2018,5,20180519,Columbia A,NA,Chicago D,W,335,155,12,1,12,220,18.33,Oklahoma/Michigan B
ACF Nationals 2018,5,20180520,Michigan A,NA,Northwestern,L,160,250,7,2,7,100,14.29,Oklahoma/Michigan B
ACF Nationals 2018,5,20180520,Northwestern,NA,Michigan A,W,250,160,10,2,10,160,16,Oklahoma/Michigan B
ACF Nationals 2018,6,20180601,Berkeley A,UG,Carnegie Mellon,W,375,50,15,3,15,240,16,Johns Hopkins/Florida
ACF Nationals 2018,6,20180601,Carnegie Mellon,UG,Berkeley A,L,50,375,3,0,3,20,6.67,Johns Hopkins/Florida
ACF Nationals 2018,6,20180602,Amherst,UG,Missouri,L,140,280,6,2,6,90,15,Johns Hopkins/Florida
ACF Nationals 2018,6,20180602,Missouri,NA,Amherst,W,280,140,11,2,11,180,16.36,Johns Hopkins/Florida
