tournament,round,game_id,team,status,opponent,result,pf,pa,tossups,negs,bhrd,bpts,PPB,packet
ACF Nationals 2019,6,20190602,Michigan A,UG,UCLA,W,190,100,10,2,10,100,10,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190602,UCLA,UG,Michigan A,L,100,190,5,4,5,70,14,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190603,Penn A,NA,Yale A,L,190,205,9,2,9,110,12.22,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190603,Yale A,NA,Penn A,W,205,190,10,3,10,120,12,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190604,Stanford A,NA,Virginia A,W,230,195,11,4,11,140,12.73,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190604,Virginia A,NA,Stanford A,L,195,230,8,1,8,120,15,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190605,Carnegie Mellon,UG,Illinois A,L,110,325,5,4,5,80,16,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190605,Illinois A,UG,Carnegie Mellon,W,325,110,13,3,13,210,16.15,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190606,Columbia A,NA,Oklahoma,W,445,50,16,3,16,300,18.75,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190606,Oklahoma,NA,Columbia A,L,50,445,3,0,3,20,6.67,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190607,NYU,UG,Ohio State,L,110,345,6,0,6,50,8.33,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190607,Ohio State,NA,NYU,W,345,110,13,3,13,230,17.69,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190608,Illinois B,D2,Toronto A,L,120,220,6,2,6,70,11.67,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190608,Toronto A,NA,Illinois B,W,220,120,10,2,10,130,13,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190609,Berkeley A,UG,Maryland B,W,290,90,12,4,12,190,15.83,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190609,Maryland B,UG,Berkeley A,L,90,290,5,6,5,70,14,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190610,Texas,NA,Yale B,L,160,225,7,2,7,100,14.29,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190610,Yale B,UG,Texas,W,225,160,11,1,11,120,10.91,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190611,Auburn,UG,MIT A,L,50,240,3,2,3,30,10,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190611,MIT A,UG,Auburn,W,240,50,10,0,10,140,14,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190612,Florida A,NA,North Carolina,W,255,145,12,3,12,150,12.5,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190612,North Carolina,NA,Florida A,L,145,255,7,3,7,90,12.86,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190613,Amherst,NA,WUSTL,W,215,210,9,3,9,140,15.56,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190613,WUSTL,NA,Amherst,L,210,215,11,2,11,110,10,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190614,Berkeley B,NA,Wright State,W,245,85,11,1,11,140,12.73,Minn-A / Harvard-A/B
ACF Nationals 2019,6,20190614,Wright State,NA,Berkeley B,L,85,245,5,1,5,40,8,Minn-A / Harvard-A/B
